CITRUS_FRUIT,total_fat,sugar,sodium,protein,saturated_fat,carbohydrates
0,53.608247422680414,35.31958762886598,33.78350515463917,59.54639175257732,66.43298969072166,9.70103092783505
4,35.51776649746193,39.70558375634518,27.685279187817258,44.69035532994924,45.065989847715734,10.873096446700508
2,39.48,26.14,25.62,46.94,49.48,7.46
1,38.75903614457831,34.506024096385545,29.698795180722893,48.87951807228916,46.325301204819276,9.518072289156626
0,44.2093023255814,24.651162790697676,39.13953488372093,55.97674418604651,57.51162790697674,7.255813953488372
0,43.820754716981135,28.69811320754717,33.91509433962264,49.160377358490564,57.575471698113205,8.90566037735849
0,43.04022988505747,44.5,31.683908045977013,47.0632183908046,53.44252873563219,11.011494252873563
0,29.242424242424242,30.90909090909091,28.242424242424242,36.54545454545455,39.27272727272727,11.303030303030303
4,29.804545454545455,20.62727272727273,25.78181818181818,41.6,36.19090909090909,8.931818181818182
0,52.144444444444446,26.511111111111113,36.98888888888889,58.15555555555556,65.92222222222222,11.222222222222221
