calories,BODY,RED_FRUIT,CITRUS_FRUIT,STONE_FRUIT,BLACK_FRUIT,FLORAL,Minerality,HERBACIOUS,PEPPER,EARTH,BAKING_SPICE,LEATHER,Astringent,Ph,ABV,Dryness
561.0948453608244,5,3,0,0,5,2,0,4,3,3,5,3,4,3,4,2
435.0781725888322,3,0,4,5,0,2,3,0,0,0,0,0,0,3,4,2
423.01000000000005,2,0,2,5,0,2,3,0,0,0,0,0,0,5,3,2
446.23734939759044,3,0,1,3,0,5,1,0,0,0,0,0,0,1,4,3
471.80465116279066,5,2,0,0,5,3,0,2,2,3,4,0,2,2,3,2
472.54433962264136,4,5,0,0,3,3,0,2,1,3,5,2,2,3,4,1
485.6534482758622,3,5,0,0,0,5,0,3,0,4,3,1,2,4,3,2
393.060606060606,4,5,0,0,3,0,0,4,4,3,2,5,4,4,4,1
375.2259090909089,2,0,4,0,0,3,4,5,0,0,0,0,0,5,3,2
567.6299999999998,5,0,0,0,5,3,0,4,5,3,4,3,3,3,4,2
