category,calories,total_fat,sugar,sodium,protein,saturated_fat,carbohydrates
Dessert Wine,398.93645161290357,32.60645161290323,101.40322580645162,16.961290322580645,18.348387096774193,47.31290322580645,14.345161290322581
Fortified Wine,263.131914893617,19.95744680851064,42.829787234042556,15.148936170212766,17.02127659574468,31.340425531914892,8.446808510638299
R Wine Brand,363.76666666666665,23.666666666666668,90.0,115.5,53.0,30.333333333333332,9.666666666666666
Red Wine,507.6221902017281,45.48270893371758,33.8568683957733,35.36695485110471,52.42987512007685,57.26320845341018,10.187800192122959
Rosé,401.86642857142886,30.685714285714287,22.942857142857143,32.75714285714286,47.27142857142857,34.56428571428572,8.942857142857143
Sherry,489.3633720930235,37.27906976744186,72.83720930232558,29.982558139534884,41.27325581395349,44.354651162790695,15.348837209302326
Sparkling Wine,427.60308483290476,36.22879177377892,53.426735218508995,28.53470437017995,35.58354755784062,45.383033419023135,11.683804627249357
W Wine Brand,536.74,65.2,24.8,27.0,38.2,97.8,4.4
White Wine,418.05279279279273,35.11441441441441,29.496396396396396,27.97972972972973,43.24189189189189,44.90810810810811,9.844594594594595
