bold red,medium Red,light red,rose,rich white,light white ,sparkling,sweet white,dessert
malbec,merlot,pinot noir,provencal rose,chardonnay,sauvignon Blanc,champagne,moscato,port
syrah,sangiovese,grenache,white zinfandel,semillon,albarino,prosecco,riesling,sherry
shiraz,zinfandel,gamay,loire valley rose,voignier,pinot blanc,cremant,chenin blanc,madeira
mourvedre,cabernet franc,st. laurent,pinot noir rose,marsanne,vermentino,cava,gewurtztraminer,vin santo
pinotage,tempranillo,carignan,syrah rose,roussanne,melon de bourgogne,metodo classico,lateharvest whites,muscat
petite sirah,nebbiolo,counoise,garnacha rosado,,gargenega,sparkling wine,alascian pinot gris,pedro ximenez
touriga nacional,barbera,,bandol rose,,trebblano,sparkling rose,,
cabernet sauvignon,cotes du rhone blend,,tempranillo rose,,pinot gris,,,
bordeaux blend,,,saignee method rose,,pinot grigio,,,
meritage,,,,,,,,
